threshold,precision,recall,f1,tp,fp,tn,fn,tpr,fpr
0.064,0.6204379562043796,1.0,0.7657657657657657,85,52,13,0,1.0,0.8
0.065,0.6204379562043796,1.0,0.7657657657657657,85,52,13,0,1.0,0.8
0.066,0.6204379562043796,1.0,0.7657657657657657,85,52,13,0,1.0,0.8
0.067,0.6204379562043796,1.0,0.7657657657657657,85,52,13,0,1.0,0.8
0.068,0.625,1.0,0.7692307692307693,85,51,14,0,1.0,0.7846153846153846
0.069,0.625,1.0,0.7692307692307693,85,51,14,0,1.0,0.7846153846153846
0.07,0.6390977443609023,1.0,0.7798165137614679,85,48,17,0,1.0,0.7384615384615385
0.07100000000000001,0.6390977443609023,1.0,0.7798165137614679,85,48,17,0,1.0,0.7384615384615385
0.07200000000000001,0.648854961832061,1.0,0.7870370370370371,85,46,19,0,1.0,0.7076923076923077
0.073,0.6640625,1.0,0.7981220657276995,85,43,22,0,1.0,0.6615384615384615
0.074,0.6692913385826772,1.0,0.8018867924528302,85,42,23,0,1.0,0.6461538461538462
0.075,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.076,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.077,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.078,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.079,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.08,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.081,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.082,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.083,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.084,0.6746031746031746,1.0,0.8056872037914692,85,41,24,0,1.0,0.6307692307692307
0.085,0.68,1.0,0.8095238095238095,85,40,25,0,1.0,0.6153846153846154
0.08600000000000001,0.6854838709677419,1.0,0.8133971291866029,85,39,26,0,1.0,0.6
0.08700000000000001,0.6854838709677419,1.0,0.8133971291866029,85,39,26,0,1.0,0.6
0.088,0.6910569105691057,1.0,0.8173076923076923,85,38,27,0,1.0,0.5846153846153846
0.089,0.6910569105691057,1.0,0.8173076923076923,85,38,27,0,1.0,0.5846153846153846
0.09,0.6967213114754098,1.0,0.821256038647343,85,37,28,0,1.0,0.5692307692307692
0.091,0.6967213114754098,1.0,0.821256038647343,85,37,28,0,1.0,0.5692307692307692
0.092,0.6967213114754098,1.0,0.821256038647343,85,37,28,0,1.0,0.5692307692307692
0.093,0.6967213114754098,1.0,0.821256038647343,85,37,28,0,1.0,0.5692307692307692
0.094,0.7024793388429752,1.0,0.8252427184466019,85,36,29,0,1.0,0.5538461538461539
0.095,0.7024793388429752,1.0,0.8252427184466019,85,36,29,0,1.0,0.5538461538461539
0.096,0.7024793388429752,1.0,0.8252427184466019,85,36,29,0,1.0,0.5538461538461539
0.097,0.7083333333333334,1.0,0.8292682926829268,85,35,30,0,1.0,0.5384615384615384
0.098,0.7142857142857143,1.0,0.8333333333333334,85,34,31,0,1.0,0.5230769230769231
0.099,0.7142857142857143,1.0,0.8333333333333334,85,34,31,0,1.0,0.5230769230769231
0.1,0.7142857142857143,1.0,0.8333333333333334,85,34,31,0,1.0,0.5230769230769231
0.101,0.7203389830508474,1.0,0.8374384236453202,85,33,32,0,1.0,0.5076923076923077
0.10200000000000001,0.7203389830508474,1.0,0.8374384236453202,85,33,32,0,1.0,0.5076923076923077
0.10300000000000001,0.7203389830508474,1.0,0.8374384236453202,85,33,32,0,1.0,0.5076923076923077
0.10400000000000001,0.7203389830508474,1.0,0.8374384236453202,85,33,32,0,1.0,0.5076923076923077
0.105,0.7203389830508474,1.0,0.8374384236453202,85,33,32,0,1.0,0.5076923076923077
0.106,0.7327586206896551,1.0,0.845771144278607,85,31,34,0,1.0,0.47692307692307695
0.107,0.7456140350877193,1.0,0.8542713567839196,85,29,36,0,1.0,0.4461538461538462
0.108,0.7456140350877193,1.0,0.8542713567839196,85,29,36,0,1.0,0.4461538461538462
0.109,0.7456140350877193,1.0,0.8542713567839196,85,29,36,0,1.0,0.4461538461538462
0.11,0.7433628318584071,0.9882352941176471,0.8484848484848485,84,29,36,1,0.9882352941176471,0.4461538461538462
0.111,0.75,0.9882352941176471,0.8527918781725888,84,28,37,1,0.9882352941176471,0.4307692307692308
0.112,0.75,0.9882352941176471,0.8527918781725888,84,28,37,1,0.9882352941176471,0.4307692307692308
0.113,0.75,0.9882352941176471,0.8527918781725888,84,28,37,1,0.9882352941176471,0.4307692307692308
0.114,0.75,0.9882352941176471,0.8527918781725888,84,28,37,1,0.9882352941176471,0.4307692307692308
0.115,0.75,0.9882352941176471,0.8527918781725888,84,28,37,1,0.9882352941176471,0.4307692307692308
0.116,0.75,0.9882352941176471,0.8527918781725888,84,28,37,1,0.9882352941176471,0.4307692307692308
0.117,0.75,0.9882352941176471,0.8527918781725888,84,28,37,1,0.9882352941176471,0.4307692307692308
0.11800000000000001,0.7567567567567568,0.9882352941176471,0.8571428571428571,84,27,38,1,0.9882352941176471,0.4153846153846154
0.11900000000000001,0.7636363636363637,0.9882352941176471,0.8615384615384616,84,26,39,1,0.9882352941176471,0.4
0.12,0.7636363636363637,0.9882352941176471,0.8615384615384616,84,26,39,1,0.9882352941176471,0.4
0.121,0.7636363636363637,0.9882352941176471,0.8615384615384616,84,26,39,1,0.9882352941176471,0.4
0.122,0.7706422018348624,0.9882352941176471,0.865979381443299,84,25,40,1,0.9882352941176471,0.38461538461538464
0.123,0.7706422018348624,0.9882352941176471,0.865979381443299,84,25,40,1,0.9882352941176471,0.38461538461538464
0.124,0.7706422018348624,0.9882352941176471,0.865979381443299,84,25,40,1,0.9882352941176471,0.38461538461538464
0.125,0.7706422018348624,0.9882352941176471,0.865979381443299,84,25,40,1,0.9882352941176471,0.38461538461538464
0.126,0.7706422018348624,0.9882352941176471,0.865979381443299,84,25,40,1,0.9882352941176471,0.38461538461538464
0.127,0.7777777777777778,0.9882352941176471,0.8704663212435233,84,24,41,1,0.9882352941176471,0.36923076923076925
0.128,0.7777777777777778,0.9882352941176471,0.8704663212435233,84,24,41,1,0.9882352941176471,0.36923076923076925
0.129,0.7777777777777778,0.9882352941176471,0.8704663212435233,84,24,41,1,0.9882352941176471,0.36923076923076925
0.13,0.7777777777777778,0.9882352941176471,0.8704663212435233,84,24,41,1,0.9882352941176471,0.36923076923076925
0.131,0.7777777777777778,0.9882352941176471,0.8704663212435233,84,24,41,1,0.9882352941176471,0.36923076923076925
0.132,0.7850467289719626,0.9882352941176471,0.875,84,23,42,1,0.9882352941176471,0.35384615384615387
0.133,0.7850467289719626,0.9882352941176471,0.875,84,23,42,1,0.9882352941176471,0.35384615384615387
0.134,0.7850467289719626,0.9882352941176471,0.875,84,23,42,1,0.9882352941176471,0.35384615384615387
0.135,0.7850467289719626,0.9882352941176471,0.875,84,23,42,1,0.9882352941176471,0.35384615384615387
0.136,0.7850467289719626,0.9882352941176471,0.875,84,23,42,1,0.9882352941176471,0.35384615384615387
0.137,0.7924528301886793,0.9882352941176471,0.8795811518324608,84,22,43,1,0.9882352941176471,0.3384615384615385
0.138,0.7924528301886793,0.9882352941176471,0.8795811518324608,84,22,43,1,0.9882352941176471,0.3384615384615385
0.139,0.7924528301886793,0.9882352941176471,0.8795811518324608,84,22,43,1,0.9882352941176471,0.3384615384615385
0.14,0.8,0.9882352941176471,0.8842105263157894,84,21,44,1,0.9882352941176471,0.3230769230769231
0.14100000000000001,0.8,0.9882352941176471,0.8842105263157894,84,21,44,1,0.9882352941176471,0.3230769230769231
0.14200000000000002,0.8,0.9882352941176471,0.8842105263157894,84,21,44,1,0.9882352941176471,0.3230769230769231
